img,mean_score,clean_mean_score,bbox
754ed778-b2f0-49f2-9855-aa237624b3e2_2face0_332_473_338_33000006.png,1,1,0 0 0 0
01aed81a-83ce-4515-8676-e502eb54793d_302face0_460_166_176_225_00001.png,1.05,1.05,0 0 0 0
4c4b6e12-3cc9-417d-a6e6-3ee7b02c8673_2face0_286_149_215_294_00001.png,1.05,1.05,0 0 0 0
eca6a031-4815-4be2-b438-bfac8413d06d_2face0_371_602_292_392_00003.png,1.05,1.05,0 0 0 0
62710333-8501-493c-bd62-ba8fabaee1bd_2face0_359_343_114_12700003.png,1.05,1.05,0 0 0 0
89059895-4d5b-4287-9680-f9197010dbf3_602face0_322_317_127_172_00010.png,1.05,1.05,0 0 0 0
4819624d-1a6b-44e2-8658-e8c3c0269185_302face1_575_67_319_32600003.png,1.1,1.1,0 0 0 0
9dbdd768-d0e2-407e-9977-8772bd08b683_2face0_135_600_196_240_00001.png,1.1,1.1,0 0 0 0
42300b13-8d47-4595-9c7f-c8dff6a09ed3_3712face0_651_619_214_273_00001.png,1.1,1.1,0 0 0 0
abc0ca6f-e07f-421d-8a2d-2c4558c7df78_2702face0_258_100_369_38300001.png,1.2,1.2,0 0 0 0
5c62c01d-16c7-49f2-ae20-d88b29feecf8_2face0_716_448_215_288_00001.png,1.25,1.25,0 0 0 0
51e0ce9b-4c5c-4aa4-89a3-512ac5a629d4_2face0_106_869_210_264_00002.png,1.35,1.35,0 0 0 0
4842995f-7dff-4c3d-bf31-6d5cacb4eb74_602face0_212_394_280_31800001.png,1.35,1.35,0 0 0 0
5602f032-3e51-43be-b586-2a87bfd1501a_607face0_494_400_316_407_00001.png,1.35,1.35,0 0 0 0
fe470bc8-f237-4d4e-9ab4-4059b3e83f2f_10000911face0_172_166_165_209_00003.png,1.4,1.4,0 0 0 0
b2a60eb3-b072-48da-9834-4264480e3ab1_602face0_123_89_181_18800003.png,1.4,1.4,0 0 0 0
3233a180-814d-4b6f-8112-17e2e622936d_2face0_303_364_319_34300004.png,1.4,1.4,0 0 0 0
56a78c4c-90a2-4f25-a807-90bb1a566154_10000864face0_616_712_205_21700001.png,1.4,1.3157894736842106,0 0 0 0
05901845-772a-4474-abe8-99874b96fd38_2face0_619_452_151_17200004.png,1.45,1.2777777777777777,0 0 0 0
9d0c32fe-5448-4996-bd01-b90246196f92_602face0_546_460_333_39200001.png,1.45,1.368421052631579,0 0 0 0
1c56c22d-407e-4cff-953c-737091263dcc_602face0_444_147_345_34500009.png,1.45,1.1764705882352942,0 0 0 0
3a991009-457b-4ab3-9688-1ba78893da3a_2face0_70_505_505_699_00002.png,1.45,1.2777777777777777,0 0 0 0
ecfd2331-edef-4f72-b600-5e2d216feb2b_602face0_856_432_147_16300002.png,1.5,1.5,0 0 0 0
abe492c6-c11b-40b3-b26d-2add3a0ae104_10000899face0_357_98_399_534_00007.png,1.55,1.55,0 0 0 0
50826947-ad8b-421a-8b59-22c61ef8a261_2face0_402_315_280_371_00006.png,1.6,1.5263157894736843,0 0 0 0
1fade0a4-6e1e-4327-ad38-f830556db624_2face0_455_335_295_375_00003.png,1.6,1.6,0 0 0 0
7b649909-9b2e-4f5b-92c7-42350bb78919_602face0_426_120_231_24500001.png,1.6,1.25,0 0 0 0
3ce25dd0-a48b-4a7d-94b8-595a897f5ffb_1502face0_358_153_271_30200001.png,1.6,1.6,0 0 0 0
ab05b7e2-bf87-491d-966c-2b09888fa875_2face0_335_418_229_292_00011.png,1.65,1.65,0 0 0 0
39c5c8ce-4966-4950-897f-621d164574e5_2face0_396_441_179_236_00001.png,1.65,1.65,0 0 0 0
2e660022-2227-44ae-bf72-0d5c434dd9b5_302face1_293_118_171_18800011.png,1.65,1.3125,0 0 0 0
fc10ba09-9de0-4f93-8e74-2d6870468080_302face0_603_1437_190_277_00006.png,1.65,1.5789473684210529,0 0 0 0
9a57325f-3304-454d-8940-de608c7ea9c9_2face0_337_786_452_48700001.png,1.7,1.4705882352941178,0 0 0 0
de67ec64-2453-4f0c-9b36-e06624b373d4_2face0_378_294_230_25000010.png,1.7,1.5555555555555556,0 0 0 0
3df00bb7-c164-4d9e-bf52-bb2453b8f5e3_2face0_95_632_357_36400011.png,1.7,1.7,0 0 0 0
c54122be-21f5-4e40-beb4-8508fbe89266_10000196face0_402_446_309_392_00010.png,1.7,1.4705882352941178,0 0 0 0
